Phase,Algorithm,Embedding,Accuracy,Precision,Recall,F1-Score,MCC,G-Mean,Class_A_Acc,Class_AU_Acc,Class_F_Acc,Class_FT_Acc,Class_LF_Acc,Class_LL_Acc,Class_M_Acc,Class_O_Acc,Class_P_Acc,Class_PE_Acc,Class_R_Acc,Class_SC_Acc,Class_SE_Acc,Class_US_Acc
Phase 4-2B (Simple Deep),XGBoost,BERT,0.873229461756374,0.4912912641689102,0.2883113778608024,0.3338162779363713,0.4362090106094537,0.11146640608687272,0.043478260869565216,0.38461538461538464,0.9693200663349917,0.0,0.0,0.1,0.14285714285714285,0.08333333333333333,0.4166666666666667,0.19047619047619047,0.3,0.5,0.5306122448979592,0.375
Phase 4-2B (Simple Deep),RF,SBERT,0.8675637393767706,0.5028270567486254,0.16489258234522045,0.20723036867764708,0.2984274250691915,0.025361850489688236,0.043478260869565216,0.07692307692307693,0.9966832504145937,0.0,0.0,0.0,0.0,0.0,0.25,0.09523809523809523,0.1,0.5,0.1836734693877551,0.0625
Phase 4-2B (Simple Deep),RF,MPNet,0.8668555240793201,0.4389447554541894,0.16128504828063822,0.2024129016600849,0.29120330403082945,0.0197951065543994,0.08695652173913043,0.07692307692307693,0.9975124378109452,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.1,0.5,0.16326530612244897,0.125
Phase 4-2B (Simple Deep),KNN,BERT,0.8746458923512748,0.3724430011872409,0.2679177083152934,0.30233253527021725,0.4443374895603782,0.08094783683106725,0.08695652173913043,0.2692307692307692,0.972636815920398,0.0,0.0,0.1,0.14285714285714285,0.5,0.5,0.23809523809523808,0.2,0.0,0.42857142857142855,0.3125
Phase 4-2B (Simple Deep),RF,BERT,0.873229461756374,0.4460273723732816,0.19889656445307097,0.24421422791793587,0.36991251814059606,0.030241498368489304,0.043478260869565216,0.19230769230769232,0.9917081260364843,0.0,0.0,0.0,0.0,0.0,0.25,0.047619047619047616,0.1,0.5,0.3469387755102041,0.3125
Phase 4-2B (Simple Deep),LinearSVC,MPNet,0.8243626062322946,0.38476557396118344,0.5736695359281739,0.4528843232396232,0.493072091008665,0.37732526068756245,0.43478260869565216,0.5769230769230769,0.8623548922056384,0.5,0.0,0.4,0.42857142857142855,0.5,0.75,0.6190476190476191,0.6,1.0,0.7346938775510204,0.625
Phase 4-2C (Simple Hybrid),XGBoost,MPNet,0.8859773371104815,0.4774156349987905,0.275554118806496,0.33055560520241134,0.4807570617205663,0.06251042345539697,0.21739130434782608,0.15384615384615385,0.9850746268656716,0.0,0.0,0.0,0.0,0.16666666666666666,0.4583333333333333,0.3333333333333333,0.2,0.5,0.5306122448979592,0.3125
Phase 4-2C (Simple Hybrid),KNN,MPNet,0.8803116147308782,0.44393500643500644,0.34496596771789134,0.37417664294604425,0.4992906001823367,0.10311855039980598,0.2608695652173913,0.11538461538461539,0.9651741293532339,0.5,0.0,0.1,0.0,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.4,0.0,0.5714285714285714,0.5
Phase 4-2C (Simple Hybrid),XGBoost,SBERT,0.8824362606232294,0.5541121140538326,0.30597585766365315,0.37113387905151785,0.46109724401951435,0.12487348831795018,0.13043478260869565,0.15384615384615385,0.9809286898839138,0.0,0.0,0.2,0.14285714285714285,0.08333333333333333,0.5,0.47619047619047616,0.5,0.5,0.42857142857142855,0.1875
Phase 4-2C (Simple Hybrid),KNN,SBERT,0.8788951841359773,0.42823179957731455,0.32114095703055295,0.3555426259571441,0.49290380706386816,0.13278608290465638,0.17391304347826086,0.15384615384615385,0.9660033167495854,0.0,0.25,0.1,0.14285714285714285,0.5,0.625,0.3333333333333333,0.2,0.0,0.5510204081632653,0.5
